Year,Month,Global,NH,SH,Day,Date
1879,9,-0.34,-0.351,-0.318,15,1879-09-15
1879,10,-0.096,0.163,-0.614,15,1879-10-15
1879,11,-0.896,-1.152,-0.382,15,1879-11-15
1879,12,-1.317,-1.608,-0.736,15,1879-12-15
1880,1,-0.112,0.109,-0.554,15,1880-01-15
1880,2,-0.422,-0.478,-0.311,15,1880-02-15
1880,3,-0.496,-0.607,-0.276,15,1880-03-15
1880,4,-0.412,-0.348,-0.541,15,1880-04-15
1880,5,-0.219,-0.046,-0.566,15,1880-05-15
1880,6,-0.19,-0.233,-0.104,15,1880-06-15
1880,7,-0.275,-0.163,-0.498,15,1880-07-15
1880,8,0.083,-0.06,0.367,15,1880-08-15
1880,9,-0.239,-0.191,-0.333,15,1880-09-15
1880,10,-1.077,-1.099,-1.033,15,1880-10-15
1880,11,-0.943,-1.362,-0.106,15,1880-11-15
1880,12,-0.698,-1.017,-0.059,15,1880-12-15
1881,1,-1.215,-1.414,-0.818,15,1881-01-15
1881,2,-0.77,-0.971,-0.367,15,1881-02-15
1881,3,-0.882,-1.104,-0.437,15,1881-03-15
1881,4,-0.46,-0.524,-0.333,15,1881-04-15
1881,5,-0.133,-0.119,-0.163,15,1881-05-15
1881,6,-0.704,-0.544,-1.026,15,1881-06-15
1881,7,-0.292,-0.004,-0.868,15,1881-07-15
1881,8,-0.079,0.076,-0.389,15,1881-08-15
1881,9,-0.052,-0.111,0.067,15,1881-09-15
1881,10,-0.576,-0.688,-0.353,15,1881-10-15
1881,11,-0.658,-0.717,-0.541,15,1881-11-15
1881,12,0.075,-0.126,0.478,15,1881-12-15
1882,1,0.696,0.982,0.123,15,1882-01-15
1882,2,0.043,0.363,-0.598,15,1882-02-15
1882,3,0.06,0.194,-0.207,15,1882-03-15
1882,4,-0.758,-0.703,-0.866,15,1882-04-15
1882,5,-0.739,-0.711,-0.794,15,1882-05-15
1882,6,-0.729,-0.544,-1.098,15,1882-06-15
1882,7,-0.536,-0.401,-0.807,15,1882-07-15
1882,8,0.004,-0.027,0.068,15,1882-08-15
1882,9,-0.016,-0.2,0.353,15,1882-09-15
1882,10,-0.403,-0.685,0.159,15,1882-10-15
1882,11,-0.883,-1.16,-0.327,15,1882-11-15
1882,12,-1.309,-1.506,-0.914,15,1882-12-15
1883,1,-1.09,-1.406,-0.457,15,1883-01-15
1883,2,-0.943,-1.054,-0.72,15,1883-02-15
1883,3,-0.984,-1.209,-0.533,15,1883-03-15
1883,4,-0.717,-0.669,-0.813,15,1883-04-15
1883,5,-0.629,-0.521,-0.845,15,1883-05-15
1883,6,-0.05,-0.112,0.072,15,1883-06-15
1883,7,-0.297,-0.189,-0.512,15,1883-07-15
1883,8,-0.417,-0.378,-0.496,15,1883-08-15
1883,9,-0.512,-0.362,-0.813,15,1883-09-15
1883,10,-0.495,-0.37,-0.746,15,1883-10-15
1883,11,-0.714,-0.775,-0.591,15,1883-11-15
1883,12,-0.4,-0.364,-0.472,15,1883-12-15
1884,1,-0.571,-0.578,-0.557,15,1884-01-15
1884,2,-0.525,-0.488,-0.598,15,1884-02-15
1884,3,-0.92,-1.21,-0.339,15,1884-03-15
1884,4,-1.156,-1.373,-0.721,15,1884-04-15
1884,5,-1.205,-0.978,-1.659,15,1884-05-15
1884,6,-0.813,-0.808,-0.824,15,1884-06-15
1884,7,-0.758,-0.642,-0.99,15,1884-07-15
1884,8,-0.271,-0.75,0.687,15,1884-08-15
1884,9,-0.57,-0.623,-0.466,15,1884-09-15
1884,10,-0.623,-0.546,-0.777,15,1884-10-15
1884,11,-0.992,-1.224,-0.528,15,1884-11-15
1884,12,-0.73,-0.654,-0.881,15,1884-12-15
1885,1,-1.388,-1.726,-0.713,15,1885-01-15
1885,2,-0.844,-0.782,-0.969,15,1885-02-15
1885,3,-1.042,-0.801,-1.525,15,1885-03-15
1885,4,-1.039,-0.871,-1.375,15,1885-04-15
1885,5,-1.092,-1.145,-0.986,15,1885-05-15
1885,6,-0.804,-0.669,-1.074,15,1885-06-15
1885,7,-0.401,-0.195,-0.813,15,1885-07-15
1885,8,-0.564,-0.671,-0.349,15,1885-08-15
1885,9,-0.376,-0.578,0.026,15,1885-09-15
1885,10,-0.607,-0.912,0.004,15,1885-10-15
1885,11,-0.651,-1.029,0.105,15,1885-11-15
1885,12,-0.102,-0.17,0.035,15,1885-12-15
1886,1,-0.871,-1.379,0.145,15,1886-01-15
1886,2,-1.121,-1.407,-0.549,15,1886-02-15
1886,3,-1.054,-1.301,-0.56,15,1886-03-15
1886,4,-0.478,-0.477,-0.481,15,1886-04-15
1886,5,-0.559,-0.389,-0.901,15,1886-05-15
